Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
1668443,The Taste of Conquest: The Rise and Fall of the Three Great Cities of Spice,Michael Krondl,"Krondl, Michael",,"=""034548083X""","=""9780345480835""",0,3.74,Ballantine Books,Hardcover,320,2007,2007,,2017/12/19,"to-read, to-read-culture-nf","to-read (#25), to-read-culture-nf (#17)",to-read,,,,0,,,0,,,,,
18079767,Solving the Procrastination Puzzle: A Concise Guide to Strategies for Change,Timothy A. Pychyl,"Pychyl, Timothy A.",,"=""0399168125""","=""9780399168123""",0,3.65,TarcherPerigee,Paperback,128,2013,2013,,2017/07/02,"to-read, to-read-culture-nf","to-read (#24), to-read-culture-nf (#16)",to-read,,,,0,,,0,,,,,
10093854,História do Século XX,Martin  Gilbert,"Gilbert, Martin",Francisco Agarez,"=""9797220400""","=""9789728040068""",0,4.02,Publicações Dom Quixote,Paperback,679,2010,1989,,2015/06/05,"to-read, to-read-culture-nf","to-read (#14), to-read-culture-nf (#14)",to-read,,,,0,,,1,,,unspecified,,
11199737,"The Information: A History, a Theory, a Flood",James Gleick,"Gleick, James",,"=""0007225741""","=""9780007225743""",0,4.01,Fourth Estate (HarperCollins),Paperback,526,2012,2011,,2015/06/05,"to-read, to-read-culture-nf","to-read (#15), to-read-culture-nf (#15)",to-read,,,,0,,,1,,,unspecified,,
6419887,The Boy Who Harnessed the Wind: Creating Currents of Electricity and Hope,William Kamkwamba,"Kamkwamba, William",Bryan Mealer,"=""0061730327""","=""9780061730320""",0,4.04,William Morrow,Hardcover,270,2009,2009,,2015/03/12,"to-read, to-read-culture-nf","to-read (#5), to-read-culture-nf (#11)",to-read,,,,0,,,0,,,,,
10126453,Economics in One Lesson: The Shortest and Surest Way to Understand Basic Economics,Henry Hazlitt,"Hazlitt, Henry",,"=""""","=""""",0,4.20,,Kindle Edition,220,,1946,,2015/01/27,"to-read, to-read-culture-nf","to-read (#4), to-read-culture-nf (#10)",to-read,,,,0,,,0,,,,,
6587260,"Bad Astronomy: Misconceptions and Misuses Revealed, from Astrology to the Moon Landing Hoax",Philip Plait,"Plait, Philip",,"=""""","=""""",0,4.04,,Kindle Edition,288,,2002,,2015/04/06,"to-read, to-read-culture-nf","to-read (#9), to-read-culture-nf (#12)",to-read,,,,0,,,0,,,,,
23263239,Easy Street: The Hard Way,Ron Perlman,"Perlman, Ron",,"=""""","=""""",0,4.13,Da Capo Press,Kindle Edition,328,2014,2014,,2014/12/19,"to-read, to-read-culture-nf","to-read (#2), to-read-culture-nf (#9)",to-read,,,,0,,,0,,,,,
12383173,Made in America,Bill Bryson,"Bryson, Bill",Daniela Carvalhal Garcia,"=""""","=""9789722518772""",0,3.91,11x17,Livro de Bolso,702,2009,1994,,2015/06/05,"to-read, to-read-culture-nf","to-read (#13), to-read-culture-nf (#13)",to-read,,,,0,,,1,,,unspecified,,
10240738,"Hyperion (Hyperion Cantos, #1)",Dan Simmons,"Simmons, Dan",Gary Ruddell,"=""""","=""""",4,4.23,Specta,Kindle Edition,481,2011,1989,,2018/04/04,"read-science-fiction, year-2018","read-science-fiction (#24), year-2018 (#7)",read,,,,1,,,0,,,,,
2814013,"Harry Potter e a Ordem da Fénix (Harry Potter, #5)",J.K. Rowling,"Rowling, J.K.","Isabel Fraga, Manuela Madureira, Isabel Nunes, Alice Rocha","=""9722331000""","=""9789722331005""",5,4.50,Editorial Presença,Paperback,750,2003,2003,2003/12/01,2011/11/06,,,read,,,,1,,,0,,,,,
25980294,Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,"Newport, Cal",,"=""""","=""""",4,4.19,Grand Central Publishing,Kindle Edition,287,2016,2016,2020/01/04,2019/12/27,"read-culture-nf, year-2020","read-culture-nf (#58), year-2020 (#1)",read,,,,1,,,0,,,,,
22709382,A Mind for Numbers: How to Excel at Math and Science (Even If You Flunked Algebra),Barbara Oakley,"Oakley, Barbara",,"=""""","=""""",4,4.21,TarcherPerigee,Kindle Edition,332,2014,2014,2017/12/21,2017/10/12,"read-culture-nf, year-2017","read-culture-nf (#39), year-2017 (#20)",read,,,,1,,,0,,,,,
6354914,"The Mystery of the Blue Train (Hercule Poirot, #6)",Agatha Christie,"Christie, Agatha",,"=""""","=""""",3,3.84,Harper Collins,Kindle Edition,278,,1928,2017/12/05,2017/12/03,"read-classics, year-2017","read-classics (#26), year-2017 (#19)",read,,,,1,,,0,,,,,
29958044,Arcanum Unbounded: The Cosmere Collection,Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",4,4.50,Tor Books,Kindle Edition,673,2016,2016,2017/11/05,2017/10/16,"read-fantasy, year-2017","read-fantasy (#126), year-2017 (#18)",read,,,,1,,,0,,,,,
17255897,"The Phoenix Project: A Novel About IT, DevOps, and Helping Your Business Win",Gene Kim,"Kim, Gene","Kevin Behr, George Spafford","=""""","=""9780988262577""",4,4.27,IT Revolution Press,ebook,376,2013,2013,2017/10/05,2017/09/28,"read-culture-nf, year-2017","read-culture-nf (#37), year-2017 (#14)",read,,,,1,,,0,,,,,
8699986,Cat's Cradle,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""""","=""""",3,4.16,RosettaBooks,Kindle Edition,306,2010,1963,2017/09/09,2017/08/27,"read-classics, year-2017","read-classics (#25), year-2017 (#13)",read,,,,1,,,0,,,,,
11128296,Minority Report,Philip K. Dick,"Dick, Philip K.",,"=""""","=""""",3,3.84,Gateway,Kindle Edition,290,2010,1956,2017/08/19,2017/08/19,"read-science-fiction, year-2017","read-science-fiction (#23), year-2017 (#11)",read,,,,1,,,0,,,,,
11162466,"The Big Four (Hercule Poirot, #5)",Agatha Christie,"Christie, Agatha",,"=""""","=""""",3,3.61,HarperCollins,Kindle Edition,227,2010,1927,2017/08/07,2017/08/04,"read-classics, year-2017","read-classics (#23), year-2017 (#8)",read,,,,1,,,0,,,,,
6066095,The Kite Runner,Khaled Hosseini,"Hosseini, Khaled",,"=""""","=""""",5,4.31,Riverhead,Kindle Edition,372,2004,2003,2017/08/04,2017/08/02,"read-broad-fiction, year-2017","read-broad-fiction (#19), year-2017 (#7)",read,,,,1,,,0,,,,,
6251566,"The Murder of Roger Ackroyd (Hercule Poirot, #4)",Agatha Christie,"Christie, Agatha",,"=""""","=""""",4,4.24,William Morrow Paperbacks,Kindle Edition,286,2009,1926,2017/07/21,2017/07/01,"read-classics, year-2017","read-classics (#24), year-2017 (#9)",read,,,,1,,,0,,,,,
7630041,Outliers: The Story of Success,Malcolm Gladwell,"Gladwell, Malcolm",,"=""""","=""""",4,4.17,"Little, Brown and Company",Kindle Edition,321,2008,2008,2017/07/01,2017/07/01,"read-culture-nf, year-2017","read-culture-nf (#36), year-2017 (#6)",read,,,,1,,,0,,,,,
